Country,SpotifyML,SpotifyMLevo%,Youtubeviews,Youtubeviewsevo %,Instagramfollowers,Instagramfollowersevo%,Population
Norfolk Island,,,,,,,
Nigeria,,,,,,,232679478
Nicaragua,,,,,,,6916140
Netherlands,,,,,,,18228742
Norway,,,,,,,5576660
Nepal,,,,,,,29651054
Nauru,,,,,,,11947
Niue,,,,,,,1819
New Zealand,,,,,,,5213944
Oman,,,,,,,5281538
Panama,,,,,,,4515577
French Polynesia,,,,,,,281807
Papua New Guinea,,,,,,,10576502
Pakistan,,,,,,,251269164
Poland,,,,,,,38539201
Saint Pierre and Miquelon,,,,,,,5628
Pitcairn Islands,,,,,,,
Puerto Rico,,,,,,,3242204
Palestine,,,,,,,5495443
Portugal,,,,,,,10425292
Palau,,,,,,,17695
Paraguay,,,,,,,6929153
Qatar,,,,,,,3048423
Reunion,,,,,,,878591
Romania,,,,,,,19015088
Serbia,,,,,,,6736216
Rwanda,,,,,,,14256567
Saudi Arabia,,,,,,,33962757
Solomon Islands,,,,,,,819198
Seychelles,,,,,,,130418
Sudan,,,,,,,50448963
Sweden,,,,,,,10606999
Saint Helena,,,,,,,
Slovenia,,,,,,,2118697
Svalbard and Jan Mayen,,,,,,,
Slovakia,,,,,,,5506760
Sierra Leone,,,,,,,8642022
San Marino,,,,,,,33581
Senegal,,,,,,,18501984
Somalia,,,,,,,19009151
Suriname,,,,,,,634431
South Sudan,,,,,,,11943408
Sao Tome and Principe,,,,,,,235536
El Salvador,,,,,,,6338193
Sint Maarten,,,,,,,43350
Syria,,,,,,,24672760
Eswatini,,,,,,,1242822
Turks and Caicos Islands,,,,,,,46535
Chad,,,,,,,20299123
French Southern Territories,,,,,,,
Togo,,,,,,,9515236
Tajikistan,,,,,,,10590927
Tokelau,,,,,,,2506
Timor-Leste,,,,,,,1400638
Turkmenistan,,,,,,,7494498
Tunisia,,,,,,,12277109
Tonga,,,,,,,104175
Trinidad and Tobago,,,,,,,1507782
Tuvalu,,,,,,,9646
Tanzania,,,,,,,68560157
Uganda,,,,,,,50015092
U.S. Minor Outlying Islands,,,,,,,
Uruguay,,,,,,,3386588
Uzbekistan,,,,,,,36361859
Vatican City,,,,,,,496
Saint Vincent and the Grenadines,,,,,,,100616
Venezuela,,,,,,,28405543
British Virgin Islands,,,,,,,39471
United States Virgin Islands,,,,,,,84905
Vanuatu,,,,,,,327777
Wallis and Futuna,,,,,,,11277
Samoa,,,,,,,218019
Kosovo,,,,,,,
Yemen,,,,,,,40583164
Mayotte,,,,,,,326505
South Africa,,,,,,,64007187
Zambia,,,,,,,21314956
Zimbabwe,,,,,,,16634373
